SEMANA;ENERO_1;PUENTE_REYES;SEMANA_SANTA;COLOMBIAMODA;FERIA_FLORES;DIC_24;DIC_31;FESTIVOS;pred_randomForest
1;1;0;0;0;0;0;0;1;60
2;0;1;0;0;0;0;0;1;41
3;0;0;0;0;0;0;0;0;435
4;0;0;0;0;0;0;0;0;435
5;0;0;0;0;0;0;0;0;441
5;0;0;0;0;0;0;0;0;441
6;0;0;0;0;0;0;0;0;469
7;0;0;0;0;0;0;0;0;464
8;0;0;0;0;0;0;0;0;468
9;0;0;0;0;0;0;0;0;470
9;0;0;0;0;0;0;0;0;470
10;0;0;0;0;0;0;0;0;481
11;0;0;0;0;0;0;0;0;483
12;0;0;0;0;0;0;0;0;363
13;0;0;0;0;0;0;0;1;58
14;0;0;0;0;0;0;0;0;398
15;0;0;0;0;0;0;0;0;407
16;0;0;1;0;0;0;0;1;69
17;0;0;0;0;0;0;0;0;449
18;0;0;0;0;0;0;0;0;432
18;0;0;0;0;0;0;0;1;50
19;0;0;0;0;0;0;0;0;443
20;0;0;0;0;0;0;0;0;439
21;0;0;0;0;0;0;0;0;452
22;0;0;0;0;0;0;0;0;433
22;0;0;0;0;0;0;0;0;433
23;0;0;0;0;0;0;0;1;47
24;0;0;0;0;0;0;0;0;428
25;0;0;0;0;0;0;0;0;424
26;0;0;0;0;0;0;0;1;47
27;0;0;0;0;0;0;0;1;47
28;0;0;0;0;0;0;0;0;427
29;0;0;0;0;0;0;0;1;48
30;0;0;0;1;0;0;0;0;159
31;0;0;0;0;0;0;0;0;266
31;0;0;0;0;0;0;0;0;266
32;0;0;0;0;1;0;0;1;49
33;0;0;0;0;0;0;0;0;433
34;0;0;0;0;0;0;0;1;48
35;0;0;0;0;0;0;0;0;468
35;0;0;0;0;0;0;0;0;468
36;0;0;0;0;0;0;0;0;478
37;0;0;0;0;0;0;0;0;477
38;0;0;0;0;0;0;0;0;476
39;0;0;0;0;0;0;0;0;474
40;0;0;0;0;0;0;0;0;463
40;0;0;0;0;0;0;0;0;463
41;0;0;0;0;0;0;0;0;421
42;0;0;0;0;0;0;0;1;46
43;0;0;0;0;0;0;0;0;431
44;0;0;0;0;0;0;0;0;428
44;0;0;0;0;0;0;0;0;428
45;0;0;0;0;0;0;0;1;45
46;0;0;0;0;0;0;0;1;45
47;0;0;0;0;0;0;0;0;424
48;0;0;0;0;0;0;0;0;424
48;0;0;0;0;0;0;0;0;424
49;0;0;0;0;0;0;0;0;409
50;0;0;0;0;0;0;0;0;421
51;0;0;0;0;0;0;0;0;449
52;0;0;0;0;0;1;0;1;50
53;0;0;0;0;0;0;1;0;127