A„O;SEMANA;CANTIDAD
2019;1;1
2019;2;1
2019;3;6
2019;4;6
2019;5;9
2019;6;5
2019;7;5
2019;8;5
2019;9;11
2019;10;5
2019;11;6
2019;12;4
2019;13;1
2019;14;5
2019;15;4
2019;16;1
2019;17;5
2019;18;5
2019;19;5
2019;20;4
2019;21;5
2019;22;9
2019;23;1
2019;24;5
2019;25;5
2019;26;1
2019;27;1
2019;28;4
2019;29;0
2019;30;2
2019;31;6
2019;32;1
2019;33;4
2019;34;1
2019;35;9
2019;36;5
2019;37;4
2019;38;4
2019;39;4
2019;40;8
2019;41;4
2019;42;1
2019;43;4
2019;44;7
2019;45;0
2019;46;0
2019;47;4
2019;48;8
2019;49;4
2019;50;4
2019;51;4
2019;52;2
2019;53;0