MES;SEMANA;FESTIVOS;pred_randomForest;;;;
1;1;1;1;;;;
1;2;1;1;;;;
1;3;0;6;;;;
1;4;0;6;;;;
1;5;0;2;;;;
2;5;0;2;;;;
2;6;0;5;;;;
2;7;0;5;;;;
2;8;0;6;;;;
2;9;0;2;;;;
3;9;0;4;;;;
3;10;0;5;;;;
3;11;0;5;;;;
3;12;0;4;;;;
3;13;1;2;;;;
4;14;0;3;;;;
4;15;0;3;;;;
4;16;1;0;;;;
4;17;0;5;;;;
4;18;0;1;;;;
5;18;1;1;;;;
5;19;0;5;;;;
5;20;0;3;;;;
5;21;0;6;;;;
5;22;0;2;;;;
6;22;0;2;;;;
6;23;1;1;;;;
6;24;0;4;;;;
6;25;0;5;;;;
6;26;1;1;;;;
7;27;1;1;;;;
7;28;0;4;;;;
7;29;1;0;;;;
7;30;0;4;;;;
7;31;0;2;;;;
8;31;0;6;;;;
8;32;1;1;;;;
8;33;0;4;;;;
8;34;1;1;;;;
8;35;0;5;;;;
9;35;0;1;;;;
9;36;0;5;;;;
9;37;0;4;;;;
9;38;0;5;;;;
9;39;0;3;;;;
9;40;0;2;;;;
10;40;0;4;;;;
10;41;0;4;;;;
10;42;1;1;;;;
10;43;0;3;;;;
10;44;0;2;;;;
11;44;0;2;;;;
11;45;1;0;;;;
11;46;1;0;;;;
11;47;0;4;;;;
11;48;0;3;;;;
12;48;0;1;;;;
12;49;0;4;;;;
12;50;0;5;;;;
12;51;0;4;;;;
12;52;1;2;;;;
12;53;0;1;;;;