MES;SEMANA;FESTIVOS;pred_randomForest
1;1;1;18
1;2;1;17
1;3;0;347
1;4;0;349
1;5;0;173
2;5;0;191
2;6;0;383
2;7;0;397
2;8;0;381
2;9;0;186
3;9;0;196
3;10;0;384
3;11;0;386
3;12;0;295
3;13;1;31
4;14;0;338
4;15;0;348
4;16;1;40
4;17;0;396
4;18;0;109
5;18;1;32
5;19;0;399
5;20;0;384
5;21;0;382
5;22;0;175
6;22;0;166
6;23;1;25
6;24;0;350
6;25;0;344
6;26;1;24
7;27;1;22
7;28;0;361
7;29;1;31
7;30;0;388
7;31;0;156
8;31;0;259
8;32;1;33
8;33;0;364
8;34;1;25
8;35;0;271
9;35;0;381
9;36;0;388
9;37;0;399
9;38;0;401
9;39;0;382
9;40;0;384
10;40;0;390
10;41;0;356
10;42;1;24
10;43;0;376
10;44;0;195
11;44;0;188
11;45;1;26
11;46;1;26
11;47;0;386
11;48;0;261
12;48;0;129
12;49;0;377
12;50;0;413
12;51;0;430
12;52;1;22
12;53;0;42