"PERIODO","MES","SEMANA","FESTIVOS","SOLO_DANOS.R"
2014,"1",1,1,34
2014,"1",1,0,180
2014,"1",2,0,294
2014,"1",3,0,347
2014,"1",4,0,378
2014,"1",5,0,165
2014,"2",5,0,192
2014,"2",6,0,409
2014,"2",7,0,391
2014,"2",8,0,351
2014,"2",9,0,189
2014,"3",9,0,230
2014,"3",10,0,399
2014,"3",11,0,424
2014,"3",12,0,346
2014,"3",12,1,24
2014,"3",13,0,339
2014,"4",13,0,53
2014,"4",14,0,399
2014,"4",15,0,373
2014,"4",15,1,30
2014,"4",16,0,164
2014,"4",16,1,65
2014,"4",17,0,400
2014,"4",18,0,59
2014,"5",18,1,37
2014,"5",18,0,260
2014,"5",19,0,382
2014,"5",20,0,392
2014,"5",21,0,385
2014,"5",22,0,238
2014,"6",22,0,102
2014,"6",22,1,18
2014,"6",23,0,382
2014,"6",24,0,346
2014,"6",25,0,298
2014,"6",25,1,16
2014,"6",26,0,272
2014,"6",26,1,31
2014,"7",26,0,60
2014,"7",27,0,385
2014,"7",28,0,336
2014,"7",29,0,319
2014,"7",29,1,24
2014,"7",30,0,385
2014,"7",31,0,99
2014,"8",31,0,272
2014,"8",32,0,336
2014,"8",32,1,29
2014,"8",33,0,319
2014,"8",33,1,13
2014,"8",34,0,346
2014,"8",35,0,254
2014,"9",35,0,381.5
2014,"9",36,0,347
2014,"9",37,0,390
2014,"9",38,0,393
2014,"9",39,0,336
2014,"10",40,0,360
2014,"10",41,0,312
2014,"10",41,1,26
2014,"10",42,0,303
2014,"10",43,0,364
2014,"10",44,0,218
2014,"11",44,0,124
2014,"11",44,1,19
2014,"11",45,0,360
2014,"11",46,0,318
2014,"11",46,1,24
2014,"11",47,0,380
2014,"11",48,0,277
2014,"12",48,0,122
2014,"12",49,0,352
2014,"12",49,1,26
2014,"12",50,0,373
2014,"12",51,0,451
2014,"12",52,0,267
2014,"12",52,1,22
2014,"12",53,0,37
2015,"1",1,1,6
2015,"1",1,0,189
2015,"1",2,0,242
2015,"1",2,1,13
2015,"1",3,0,314
2015,"1",4,0,305
2015,"1",5,0,155
2015,"2",5,0,182
2015,"2",6,0,369
2015,"2",7,0,397
2015,"2",8,0,353
2015,"2",9,0,163
2015,"3",9,0,193
2015,"3",10,0,351
2015,"3",11,0,366
2015,"3",12,0,367
2015,"3",12,1,23
2015,"3",13,0,269
2015,"3",13,1,22
2015,"4",13,0,51
2015,"4",14,1,59
2015,"4",14,0,201
2015,"4",15,0,363
2015,"4",16,0,387
2015,"4",17,0,453
2015,"4",18,0,67
2015,"5",18,1,35
2015,"5",18,0,223
2015,"5",19,0,443
2015,"5",20,0,329
2015,"5",20,1,26
2015,"5",21,0,387
2015,"5",22,0,207
2015,"6",22,0,192
2015,"6",23,0,311
2015,"6",23,1,26
2015,"6",24,0,334
2015,"6",24,1,28
2015,"6",25,0,367
2015,"6",26,0,238
2015,"6",26,1,17
2015,"7",26,0,61
2015,"7",27,0,371
2015,"7",28,0,390
2015,"7",29,0,329
2015,"7",29,1,36
2015,"7",30,0,410
2015,"7",31,0,130
2015,"8",31,0,317
2015,"8",32,0,372
2015,"8",33,0,324
2015,"8",33,1,26
2015,"8",34,0,331
2015,"8",35,0,265
2015,"9",35,0,381.5
2015,"9",36,0,405
2015,"9",37,0,435
2015,"9",38,0,412
2015,"9",39,0,387
2015,"10",40,0,407
2015,"10",41,0,309
2015,"10",41,1,20
2015,"10",42,0,380
2015,"10",43,0,373
2015,"10",44,0,200
2015,"11",44,0,140
2015,"11",44,1,21
2015,"11",45,0,438
2015,"11",46,0,330
2015,"11",46,1,30
2015,"11",47,0,372
2015,"11",48,0,261
2015,"12",48,0,127
2015,"12",49,0,376
2015,"12",49,1,32
2015,"12",50,0,431
2015,"12",51,0,405
2015,"12",52,0,264
2015,"12",52,1,19
2015,"12",53,0,31
2016,"1",1,1,19
2016,"1",1,0,189
2016,"1",2,0,242
2016,"1",2,1,15
2016,"1",3,0,340
2016,"1",4,0,356
2016,"1",5,0,142
2016,"2",5,0,229
2016,"2",6,0,354
2016,"2",7,0,405
2016,"2",8,0,344
2016,"2",9,0,198
2016,"3",9,0,167
2016,"3",10,0,443
2016,"3",11,0,426
2016,"3",12,0,222
2016,"3",12,1,51
2016,"3",13,1,28
2016,"3",13,0,247
2016,"4",14,0,349
2016,"4",15,0,424
2016,"4",16,0,392
2016,"4",17,0,362
2016,"4",18,0,121
2016,"5",18,1,37
2016,"5",18,0,222
2016,"5",19,0,379
2016,"5",19,1,26
2016,"5",20,0,409
2016,"5",21,0,375
2016,"5",22,0,138
2016,"5",22,1,22
2016,"6",22,0,109
2016,"6",23,0,294
2016,"6",23,1,26
2016,"6",24,0,370
2016,"6",25,0,386
2016,"6",26,0,298
2016,"7",27,0,269
2016,"7",27,1,21
2016,"7",28,0,387
2016,"7",29,0,338
2016,"7",29,1,24
2016,"7",30,0,393
2016,"7",31,0,155
2016,"8",31,0,261
2016,"8",32,0,371
2016,"8",32,1,43
2016,"8",33,0,343
2016,"8",33,1,23
2016,"8",34,0,409
2016,"8",35,0,275
2016,"9",35,0,381.5
2016,"9",36,0,409
2016,"9",37,0,380
2016,"9",38,0,373
2016,"9",39,0,375
2016,"9",40,0,381.5
2016,"10",40,0,370
2016,"10",41,0,429
2016,"10",42,0,340
2016,"10",42,1,25
2016,"10",43,0,397
2016,"10",44,0,232
2016,"11",44,0,184
2016,"11",45,0,333
2016,"11",45,1,21
2016,"11",46,0,314
2016,"11",46,1,23
2016,"11",47,0,423
2016,"11",48,0,330
2016,"12",48,0,41
2016,"12",49,0,391
2016,"12",49,1,25
2016,"12",50,0,426
2016,"12",51,0,477
2016,"12",52,0,320
2016,"12",52,1,22
2016,"12",53,0,69
2017,"7",27,0,329
2017,"7",27,1,16
2017,"7",30,0,406
2017,"7",28,0,368
2017,"7",26,0,59
2017,"7",29,0,363
2017,"7",29,1,34
2017,"7",31,0,109
2017,"5",19,0,391
2017,"5",22,0,140
2017,"5",22,1,27
2017,"5",18,0,350
2017,"5",18,1,28
2017,"5",20,0,414
2017,"5",21,0,368
2017,"6",26,0,305
2017,"6",23,0,390
2017,"6",24,0,403
2017,"6",25,0,305
2017,"6",25,1,30
2017,"6",22,0,208
2017,"4",16,0,315
2017,"4",16,1,21
2017,"4",17,0,428
2017,"4",13,0,66
2017,"4",14,0,401
2017,"4",15,0,243
2017,"4",15,1,48
2017,"4",18,0,29
2017,"2",8,0,440
2017,"2",6,0,396
2017,"2",7,0,418
2017,"2",9,0,152
2017,"2",5,0,218
2017,"3",13,0,358
2017,"3",9,0,234
2017,"3",10,0,393
2017,"3",11,0,365
2017,"3",12,0,301
2017,"3",12,1,17
2017,"1",5,0,146
2017,"1",1,1,20
2017,"1",1,0,212
2017,"1",2,0,263
2017,"1",2,1,18
2017,"1",3,0,368
2017,"1",4,0,401
2017,"8",31,0,340
2017,"8",34,0,322
2017,"8",34,1,29
2017,"8",35,0,241
2017,"8",32,0,354
2017,"8",32,1,40
2017,"8",33,0,457
2017,"12",50,0,408
2017,"12",48,0,140
2017,"12",51,0,465
2017,"12",52,1,20
2017,"12",52,0,242
2017,"12",49,0,372
2017,"12",49,1,33
2017,"12",53,0,21
2017,"11",45,0,284
2017,"11",45,1,24
2017,"11",46,1,26
2017,"11",46,0,387
2017,"11",47,0,383
2017,"11",44,0,234
2017,"11",48,0,278
2017,"10",44,0,162
2017,"10",43,0,382
2017,"10",40,0,432
2017,"10",42,0,352
2017,"10",42,1,26
2017,"10",41,0,355
2017,"9",39,0,372
2017,"9",38,0,430
2017,"9",36,0,394
2017,"9",37,0,416
2017,"9",35,0,381.5
2018,"1",1,0,214
2018,"1",1,1,21
2018,"1",2,0,229
2018,"1",2,1,13
2018,"1",3,0,369
2018,"1",4,0,326
2018,"1",5,0,147
2018,"2",5,0,236
2018,"2",7,0,414
2018,"2",6,0,374
2018,"2",8,0,401
2018,"2",9,0,164
2018,"3",13,1,31
2018,"3",13,0,188
2018,"3",12,0,303
2018,"3",12,1,54
2018,"3",11,0,369
2018,"3",10,0,335
2018,"3",9,0,215
2018,"4",14,0,407
2018,"4",13,1,30
2018,"4",16,0,381
2018,"4",17,0,379
2018,"4",15,0,359
2018,"4",18,0,59
2018,"5",19,0,423
2018,"5",21,0,396
2018,"5",20,0,365
2018,"5",20,1,24
2018,"5",18,0,232
2018,"5",18,1,16
2018,"5",22,0,199
2018,"7",27,0,259
2018,"7",27,1,29
2018,"7",28,0,371
2018,"7",26,0,23
2018,"7",29,0,338
2018,"7",29,1,37
2018,"7",30,0,366
2018,"7",31,0,115
2018,"10",40,0,402
2018,"10",41,0,373
2018,"10",42,1,26
2018,"10",42,0,336
2018,"10",43,0,396
2018,"10",44,0,200
2018,"12",48,0,99
2018,"12",52,0,285
2018,"12",52,1,22
2018,"12",53,0,29
2018,"12",51,0,400
2018,"12",49,0,375
2018,"12",49,1,42
2018,"12",50,0,432
2018,"6",25,0,366
2018,"6",26,0,291
2018,"6",24,0,313
2018,"6",24,1,29
2018,"6",22,0,166
2018,"6",23,0,321
2018,"6",23,1,23
2018,"8",33,0,408
2018,"8",34,0,353
2018,"8",34,1,25
2018,"8",32,1,28
2018,"8",32,0,353
2018,"8",31,0,291
2018,"8",35,0,305
2018,"9",38,0,400
2018,"9",39,0,430
2018,"9",37,0,380
2018,"9",36,0,383
2018,"9",35,0,381.5
2018,"11",47,0,410
2018,"11",45,0,357
2018,"11",45,1,35
2018,"11",46,0,419
2018,"11",46,1,26
2018,"11",48,0,222
2018,"11",44,0,223
