SEMANA;ENERO_1;PUENTE_REYES;SEMANA_SANTA;COLOMBIAMODA;FERIA_FLORES;DIC_24;DIC_31;FESTIVOS;pred_randomForest;;;
1;1;0;0;0;0;0;0;1;1;;;
2;0;1;0;0;0;0;0;1;1;;;
3;0;0;0;0;0;0;0;0;6;;;
4;0;0;0;0;0;0;0;0;6;;;
5;0;0;0;0;0;0;0;0;4;;;
5;0;0;0;0;0;0;0;0;4;;;
6;0;0;0;0;0;0;0;0;5;;;
7;0;0;0;0;0;0;0;0;5;;;
8;0;0;0;0;0;0;0;0;5;;;
9;0;0;0;0;0;0;0;0;5;;;
9;0;0;0;0;0;0;0;0;5;;;
10;0;0;0;0;0;0;0;0;5;;;
11;0;0;0;0;0;0;0;0;6;;;
12;0;0;0;0;0;0;0;0;4;;;
13;0;0;0;0;0;0;0;1;1;;;
14;0;0;0;0;0;0;0;0;5;;;
15;0;0;0;0;0;0;0;0;4;;;
16;0;0;1;0;0;0;0;1;1;;;
17;0;0;0;0;0;0;0;0;5;;;
18;0;0;0;0;0;0;0;0;4;;;
18;0;0;0;0;0;0;0;1;1;;;
19;0;0;0;0;0;0;0;0;5;;;
20;0;0;0;0;0;0;0;0;4;;;
21;0;0;0;0;0;0;0;0;5;;;
22;0;0;0;0;0;0;0;0;5;;;
22;0;0;0;0;0;0;0;0;5;;;
23;0;0;0;0;0;0;0;1;1;;;
24;0;0;0;0;0;0;0;0;5;;;
25;0;0;0;0;0;0;0;0;5;;;
26;0;0;0;0;0;0;0;1;1;;;
27;0;0;0;0;0;0;0;1;1;;;
28;0;0;0;0;0;0;0;0;4;;;
29;0;0;0;0;0;0;0;1;0;;;
30;0;0;0;1;0;0;0;0;2;;;
31;0;0;0;0;0;0;0;0;3;;;
31;0;0;0;0;0;0;0;0;3;;;
32;0;0;0;0;1;0;0;1;1;;;
33;0;0;0;0;0;0;0;0;4;;;
34;0;0;0;0;0;0;0;1;1;;;
35;0;0;0;0;0;0;0;0;5;;;
35;0;0;0;0;0;0;0;0;5;;;
36;0;0;0;0;0;0;0;0;5;;;
37;0;0;0;0;0;0;0;0;4;;;
38;0;0;0;0;0;0;0;0;4;;;
39;0;0;0;0;0;0;0;0;4;;;
40;0;0;0;0;0;0;0;0;4;;;
40;0;0;0;0;0;0;0;0;4;;;
41;0;0;0;0;0;0;0;0;4;;;
42;0;0;0;0;0;0;0;1;1;;;
43;0;0;0;0;0;0;0;0;4;;;
44;0;0;0;0;0;0;0;0;4;;;
44;0;0;0;0;0;0;0;0;4;;;
45;0;0;0;0;0;0;0;1;0;;;
46;0;0;0;0;0;0;0;1;0;;;
47;0;0;0;0;0;0;0;0;4;;;
48;0;0;0;0;0;0;0;0;4;;;
48;0;0;0;0;0;0;0;0;4;;;
49;0;0;0;0;0;0;0;0;4;;;
50;0;0;0;0;0;0;0;0;4;;;
51;0;0;0;0;0;0;0;0;4;;;
52;0;0;0;0;0;1;0;1;2;;;
53;0;0;0;0;0;0;1;0;0;;;